,anime_id,title,image_url,genre
95,9690,Densetsu no Yuusha no Densetsu: Iris Report,https://myanimelist.cdn-dena.com/images/anime/11/26850.jpg,"Action, Adventure, Fantasy, Magic, Shounen"
96,9721,Aisai Nikki,https://myanimelist.cdn-dena.com/images/anime/11/36725.jpg,Hentai
97,812,Chikyuu Shoujo Arjuna,https://myanimelist.cdn-dena.com/images/anime/4/57253.jpg,"Adventure, Drama, Magic, Sci-Fi"
98,19849,Peeping Life 5.0ch,https://myanimelist.cdn-dena.com/images/anime/4/52931.jpg,"Comedy, Slice of Life"
99,7791,K-On!!,https://myanimelist.cdn-dena.com/images/anime/12/76121.jpg,"Comedy, Music, School, Slice of Life"
100,747,Haru wo Daite Ita,https://myanimelist.cdn-dena.com/images/anime/6/3718.jpg,"Drama, Romance, Yaoi"
101,11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,https://myanimelist.cdn-dena.com/images/anime/4/30543.jpg,"Adventure, Comedy, Fantasy, Kids"
102,8726,Soredemo Machi wa Mawatteiru,https://myanimelist.cdn-dena.com/images/anime/9/25880.jpg,"Comedy, Slice of Life"
103,20229,Makkuro na Obentou,https://myanimelist.cdn-dena.com/images/anime/12/53839.jpg,"Drama, Historical"
104,33155,Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,https://myanimelist.cdn-dena.com/images/anime/7/88061.jpg,"Action, School"
105,10869,Scan2Go,https://myanimelist.cdn-dena.com/images/anime/3/30012.jpg,"Cars, Kids, Shounen, Space, Sports"
106,12589,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,https://myanimelist.cdn-dena.com/images/anime/7/35279.jpg,"Adventure, Kids"
107,3981,Shokuzai no Kyoushitsu,https://myanimelist.cdn-dena.com/images/anime/6/7185.jpg,Hentai
108,15813,Majokko Shimai no Yoyo to Nene,https://myanimelist.cdn-dena.com/images/anime/5/53567.jpg,"Fantasy, Magic"
109,36951,Yuu☆Yuu☆Hakusho Special,https://myanimelist.cdn-dena.com/images/anime/1145/92229.jpg,"Action, Adventure, Comedy, Demons, Supernatural, Martial Arts, Shounen"
110,33462,Bernard-jou Iwaku.,https://myanimelist.cdn-dena.com/images/anime/11/81589.jpg,"Comedy, School"
111,12569,Himitsu no Akko-chan (Movie),https://myanimelist.cdn-dena.com/images/anime/9/35227.jpg,"Magic, School, Shoujo"
112,34908,Calihara no Uta,https://myanimelist.cdn-dena.com/images/anime/7/84224.jpg,"Music, Kids"
113,1586,Aoi Umi no Tristia,https://myanimelist.cdn-dena.com/images/anime/2/18760.jpg,"Adventure, Mecha"
114,1778,Dae Jang Geum: Jang Geum&#039;s Dream,https://myanimelist.cdn-dena.com/images/anime/1/1778.jpg,"Adventure, Comedy, Historical"
115,20057,Space☆Dandy,https://myanimelist.cdn-dena.com/images/anime/4/56611.jpg,"Sci-Fi, Space, Comedy"
116,18637,Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,https://myanimelist.cdn-dena.com/images/anime/4/49765.jpg,"Action, Mecha, Super Power, Sci-Fi, Shounen"
117,6828,Ohi-sama to Kaeru,https://myanimelist.cdn-dena.com/images/anime/4/15831.jpg,Comedy
